produto,doadores,receptores,transferencia_total
4939 - SACOLA P,"DELICADA KIDS - LOJA: 3596.0
DELICADA ITAGUAI - LOJA: 1288.0","DELICADA RP - LOJA: -1604.0
DELICADA - SJM: -846.0",-2450.0
5701 - CALCINHA DE MICRO ALTOMAX SORTIDA,"DELICADA RP - LOJA: 52.0
DELICADA - SJM: 1460.0","DELICADA ITAGUAI - LOJA: -451.0
DELICADA PAVUNA: -410.0",-861.0
5692 - KIT 3X1 MEIAS ALTOMAX INVISIVEL EST FEM,"DEPOSITO: 632.0
DELICADA PAVUNA: 130.0
DELICADA - SJM: 231.0","DELICADA RP - LOJA: -264.0
DELICADA ITAGUAI - LOJA: -396.0",-660.0
"3886 - TANGA LINDA BRASIL REF: 4409,4410,4401,4402","DELICADA ITAGUAI - LOJA: 2498.0
DELICADA PAVUNA: 745.0
DELICADA - SJM: 1057.0",DELICADA RP - LOJA: -357.0,-357.0
2757 - SAMBA CANCAO MALHA ADULTO,DELICADA RP - LOJA: 572.0,"DELICADA ITAGUAI - LOJA: -234.0
DELICADA PAVUNA: -26.0",-260.0
5327 - REGATA COTTON P AO GG REF:228,"DELICADA RP - LOJA: 151.0
DELICADA ITAGUAI - LOJA: 308.0","DELICADA PAVUNA: -37.0
DELICADA - SJM: -182.0",-219.0
4966 - MEIA MANGA CANELADA FEM BOTOES REF:2480,"DELICADA ITAGUAI - LOJA: 185.0
DELICADA PAVUNA: 106.0
DELICADA - SJM: 205.0",DELICADA RP - LOJA: -206.0,-206.0
1154 - MULLET LISA,"DELICADA RP - LOJA: 38.0
DELICADA ITAGUAI - LOJA: 171.0
DELICADA - SJM: 103.0",DELICADA PAVUNA: -199.0,-199.0
8640 - CAMISA M/M BASICA,"DELICADA ITAGUAI - LOJA: 395.0
DELICADA PAVUNA: 347.0",DELICADA RP - LOJA: -181.0,-181.0
"2 - CALCOLA PMG ESTAMPADA REF:023,011,005,004,007","DELICADA PAVUNA: 19.0
DELICADA - SJM: 415.0",DELICADA ITAGUAI - LOJA: -176.0,-176.0
7785 - BLUSA MULLET C/PEDRINHA REF:373,"DELICADA ITAGUAI - LOJA: 102.0
DELICADA - SJM: 136.0","DELICADA RP - LOJA: -10.0
DELICADA PAVUNA: -138.0",-148.0
1003 - CALCOLA,"DELICADA RP - LOJA: 439.0
DELICADA ITAGUAI - LOJA: 7.0",DELICADA PAVUNA: -129.0,-129.0
1839 - SOUTIEN REFORCADO BASICO,DELICADA ITAGUAI - LOJA: 150.0,"DELICADA PAVUNA: -19.0
DELICADA - SJM: -92.0",-111.0
5268 - SHORT DET EST CINTO REF:1358,DELICADA - SJM: 149.0,"DELICADA RP - LOJA: -20.0
DELICADA ITAGUAI - LOJA: -88.0",-108.0
5715 - CINTA FIO REF:L-443,DELICADA RP - LOJA: 349.0,"DELICADA ITAGUAI - LOJA: -30.0
DELICADA PAVUNA: -64.0",-94.0
7776 - REGATA CANELADA NADADOR REF:23403,"DELICADA PAVUNA: 8.0
DELICADA - SJM: 96.0","DELICADA RP - LOJA: -14.0
DELICADA ITAGUAI - LOJA: -72.0",-86.0
4601 - CROPPED C/ MANGA GOLA,"DELICADA ITAGUAI - LOJA: 226.0
DELICADA PAVUNA: 58.0
DELICADA - SJM: 302.0",DELICADA RP - LOJA: -70.0,-70.0
7842 - SAIA MIDI CANELADA,"DELICADA PAVUNA: 26.0
DELICADA - SJM: 71.0","DELICADA RP - LOJA: -18.0
DELICADA ITAGUAI - LOJA: -52.0",-70.0
"3860 - REGATA MASCULINA AD DIVERSAS REF:1674,1683,1703,1673,1564,1685,1680,1683,1551,1593","DELICADA ITAGUAI - LOJA: 112.0
DELICADA PAVUNA: 59.0",DELICADA RP - LOJA: -59.0,-59.0
4965 - MM FEM CANELADA CHULEADA REF:23401,"DELICADA ITAGUAI - LOJA: 95.0
DELICADA - SJM: 103.0","DELICADA RP - LOJA: -10.0
DELICADA PAVUNA: -49.0",-59.0
5328 - NADADOR COTTON REF:232,DELICADA ITAGUAI - LOJA: 97.0,"DELICADA RP - LOJA: -56.0
DELICADA PAVUNA: -2.0",-58.0
7528 - SHORT NILZA REF:603,"DELICADA ITAGUAI - LOJA: 153.0
DELICADA PAVUNA: 100.0
DELICADA - SJM: 75.0",DELICADA RP - LOJA: -54.0,-54.0
7756 - BLUSA MANGA DUPLA EST,"DELICADA PAVUNA: 2.0
DELICADA - SJM: 50.0","DELICADA RP - LOJA: -48.0
DELICADA ITAGUAI - LOJA: -4.0",-52.0
6065 - CROPPED DET V REF:1794,"DELICADA RP - LOJA: 19.0
DELICADA ITAGUAI - LOJA: 27.0
DELICADA - SJM: 28.0",DELICADA PAVUNA: -50.0,-50.0
7378 - CROPPED GOLA MENOR REF:377,"DELICADA RP - LOJA: 126.0
DELICADA ITAGUAI - LOJA: 73.0
DELICADA - SJM: 39.0",DELICADA PAVUNA: -49.0,-49.0
7815 - VESTIDO MIDI REF:722,"DELICADA RP - LOJA: 21.0
DELICADA - SJM: 71.0","DELICADA ITAGUAI - LOJA: -34.0
DELICADA PAVUNA: -10.0",-44.0
7632 - COLETINHO TRICOR NOVO REF:2912,DELICADA PAVUNA: 44.0,"DELICADA RP - LOJA: -13.0
DELICADA ITAGUAI - LOJA: -26.0",-39.0
6000 - SHORT TACTEL LISO FEM,"DELICADA RP - LOJA: 42.0
DELICADA PAVUNA: 87.0
DELICADA - SJM: 451.0",DELICADA ITAGUAI - LOJA: -39.0,-39.0
7591 - SOBRELLEG LISA REF:20,"DELICADA RP - LOJA: 2.0
DELICADA - SJM: 40.0",DELICADA PAVUNA: -38.0,-38.0
7826 - SHORT FEM MICRO MARCA,"DELICADA RP - LOJA: 324.0
DELICADA ITAGUAI - LOJA: 183.0
DELICADA - SJM: 106.0",DELICADA PAVUNA: -36.0,-36.0
1448 - SHORT FEM ELASTANO DLP,DELICADA - SJM: 52.0,DELICADA ITAGUAI - LOJA: -34.0,-34.0
"8078 - TOP FEM LISO REF:230374,230375","DELICADA ITAGUAI - LOJA: 51.0
DELICADA - SJM: 119.0","DELICADA RP - LOJA: -21.0
DELICADA PAVUNA: -13.0",-34.0
1293 - BIQUINI EST,DELICADA RP - LOJA: 77.0,"DELICADA PAVUNA: -2.0
DELICADA - SJM: -28.0",-30.0
7703 - CAMISA M/M SILK REF:6028,"DELICADA RP - LOJA: 35.0
DELICADA PAVUNA: 79.0",DELICADA ITAGUAI - LOJA: -29.0,-29.0
8473 - REGATA LISA VISCOLINHO REF:1800,"DELICADA RP - LOJA: 72.0
DELICADA - SJM: 4.0","DELICADA ITAGUAI - LOJA: -16.0
DELICADA PAVUNA: -11.0",-27.0
7773 - BLUSA M/M GOLA V FEM REF:2483,"DELICADA ITAGUAI - LOJA: 181.0
DELICADA PAVUNA: 120.0
DELICADA - SJM: 147.0",DELICADA RP - LOJA: -27.0,-27.0
7246 - CROPPED MM BASICO REF:706,"DELICADA RP - LOJA: 57.0
DELICADA - SJM: 38.0",DELICADA ITAGUAI - LOJA: -26.0,-26.0
7051 - CAMISOLA LISA REF:089,"DELICADA ITAGUAI - LOJA: 33.0
DELICADA PAVUNA: 12.0
DELICADA - SJM: 54.0",DELICADA RP - LOJA: -26.0,-26.0
6076 - BLUSA SINO DUNA LISA REF:1906,"DELICADA RP - LOJA: 14.0
DELICADA PAVUNA: 14.0",DELICADA ITAGUAI - LOJA: -25.0,-25.0
8155 - BLUSA EST PEDRINHA REF:WN168,DELICADA - SJM: 24.0,"DELICADA RP - LOJA: -3.0
DELICADA ITAGUAI - LOJA: -20.0
DELICADA PAVUNA: -1.0",-24.0
8154 - BLUSA LESE REF:TT2331,"DELICADA PAVUNA: 17.0
DELICADA - SJM: 20.0","DELICADA RP - LOJA: -16.0
DELICADA ITAGUAI - LOJA: -7.0",-23.0
7399 - CALCA BASICA EST REF:CL469,"DELICADA ITAGUAI - LOJA: 129.0
DELICADA PAVUNA: 0.0",DELICADA RP - LOJA: -22.0,-22.0
8310 - VESTIDO BABADO EST REF:140L,"DELICADA RP - LOJA: 4.0
DELICADA ITAGUAI - LOJA: 4.0
DELICADA - SJM: 15.0",DELICADA PAVUNA: -22.0,-22.0
7628 - SHORT 4 ESTACAO ZR REF:2829,"DELICADA ITAGUAI - LOJA: 7.0
DELICADA PAVUNA: 12.0
DELICADA - SJM: 85.0",DELICADA RP - LOJA: -22.0,-22.0
